SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,avg_monthly_spend,streaming_count,security_support_count
0,1,0,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,0,88.464584,2,4
0,0,1,17,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1,64.3,2,0
1,1,0,71,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,0,95.30916,0,4
1,1,0,2,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,0,90.825,2,1
0,1,1,27,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,0,69.42407,0,4
0,0,0,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,0,20.2,0,0
1,0,0,1,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,0,45.25,0,0
0,1,1,72,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,0,100.718056,1,3
0,0,0,5,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,1,63.38,0,0
0,0,0,46,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,0,77.136955,0,1
0,0,0,34,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,1,104.38971,2,2
0,0,0,11,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1,100.490906,2,1
0,1,1,10,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,0,47.57,0,1
0,1,1,70,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,0,69.605,1,2
0,1,1,17,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,0,24.602942,0,0
0,0,0,63,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,0,77.16587,1,4
0,1,0,13,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,0,75.496155,1,3
0,0,0,49,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,0,79.72857,1,0
0,0,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,0,48.5,0,1
0,0,0,2,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,1,72.075,1,0
0,0,0,52,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,0,81.11154,2,2
0,1,1,69,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,0,61.65362,0,3
1,0,0,43,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,0,89.273254,1,1
0,0,0,15,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1,95.09333,2,2
1,1,0,25,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,0,70.106,1,2
1,1,0,8,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,1,79.1625,0,1
1,1,1,60,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,0,74.2725,1,4
1,0,0,18,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1,97.36389,2,0
0,1,1,63,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,0,100.17778,2,1
1,1,1,66,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,0,107.21742,2,3
0,1,1,34,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,0,26.30294,0,0
0,0,0,72,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,0,109.07917,2,2
0,1,0,47,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,0,100.15106,2,1
0,0,0,60,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,0,90.845,1,1
0,1,0,72,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,0,41.13889,0,3
0,1,1,18,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,0,53.172222,0,2
0,0,0,9,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,1,95.25,2,0
0,0,0,3,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,0,81.36667,2,2
0,1,0,47,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,0,77.66702,0,1
0,0,0,31,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,0,80.55484,2,3
0,1,1,50,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,0,18.618,0,0
0,0,0,10,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,0,88.735,0,2
0,0,0,1,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,0,49.05,0,1
0,1,1,52,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,0,20.97404,0,0
1,1,1,64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,0,110.921875,2,3
0,1,1,62,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,0,22.977419,0,0
0,0,1,3,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,0,59.133335,1,2
1,0,0,56,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,0,109.63393,2,3
0,0,0,46,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,0,58.453262,1,0
0,1,1,8,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,0,60.28125,0,2
1,0,0,30,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,0,70.37666,2,2
0,1,1,45,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,0,27.035555,0,0
0,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,1,79.35,1,0
0,1,1,11,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,0,51.395454,2,1
0,1,0,7,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,1,70.98572,0,1
0,0,0,42,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,0,103.03571,2,3
0,1,0,49,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,0,19.864286,0,0
0,0,0,9,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,0,102.083336,2,1
0,1,0,35,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,0,63.298573,1,1
0,1,1,48,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,0,22.020834,0,0
0,1,1,46,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,0,20.154348,0,0
0,1,0,29,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,0,34.801723,1,0
0,1,1,30,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,0,85.67333,0,2
1,0,0,1,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,0,74.7,0,1
0,1,1,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,0,86.579544,2,3
0,0,0,65,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,0,109.33846,2,3
0,0,0,72,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,0,103.597916,2,2
0,0,0,12,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,1,77.27917,0,1
0,1,1,71,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,0,66.883095,0,3
0,0,0,5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,1,22.77,0,0
0,0,0,52,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,0,21.292307,0,0
1,1,0,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,1,100.58,2,2
0,0,0,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,0,20.2,0,0
0,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,0,19.45,0,0
0,0,0,38,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,0,94.88421,1,2
1,1,0,66,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,0,45.867424,1,2
0,1,0,68,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,1,111.93897,2,3
0,0,0,5,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,0,20.04,0,0
0,1,1,72,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,0,101.43125,2,2
0,0,0,32,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,0,28.989063,0,1
0,0,0,43,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,0,91.19302,2,0
0,1,1,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,0,18.934029,0,0
0,1,0,55,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,1,95.25272,1,2
0,0,0,52,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,0,58.504807,0,3
0,0,0,43,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,0,91.95581,1,2
1,1,0,37,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,1,77.51757,0,0
0,1,1,64,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,0,53.492188,2,2
0,1,1,3,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,0,82.8,1,2
0,0,0,36,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,0,31.2875,0,1
0,1,1,10,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1,106.465,2,1
0,0,0,41,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,0,20.369513,0,0
0,1,1,27,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,0,79.68889,0,2
0,1,1,56,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,0,98.49018,2,1
0,0,0,6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,0,18.791666,0,0
0,0,0,3,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,1,76.51667,0,0
0,1,1,7,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,0,50.05,0,1
0,1,1,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,0,15.725,0,0
0,0,0,33,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,0,91.74697,1,2
1,0,0,27,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,1,79.09259,0,1
0,1,0,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,0,23.94375,0,0
0,0,0,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,0,19.75,0,0
1,0,0,71,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,56.45,0,56.13169,2,2
0,0,0,13,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,0,93.511536,1,0
0,1,1,25,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1,60.106,2,3
0,0,0,67,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,0,48.65821,0,1
0,0,0,1,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,1,35.45,1,0
0,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,1,40.625,0,0
0,0,0,43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.7,0,27.632559,0,0
0,0,0,23,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.0,0,77.32609,0,1
0,1,1,64,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,0,19.964844,0,0
0,0,1,57,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.6,0,20.535965,0,0
1,1,0,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,1,70.45,0,0
1,1,1,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),88.05,0,89.24514,2,4
0,0,0,8,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,1,70.45625,1,2
0,1,0,61,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),101.05,0,97.88934,2,1
0,0,0,64,Fiber optic,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),84.3,0,82.6414,0,2
1,1,0,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.95,0,24.73521,0,0
0,1,1,65,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Credit card (automatic),99.05,0,98.71846,1,3
0,0,0,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.6,0,20.45,0,0
0,0,0,1,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,1,45.65,0,0
0,0,1,30,DSL,No,Yes,Yes,No,Yes,No,One year,0,Credit card (automatic),64.5,0,64.331665,1,2
0,1,1,15,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.5,0,71.42667,1,3
0,1,1,8,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,68.55,0,70.54375,2,1
0,0,0,7,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,1,93.64286,2,0
0,1,1,70,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),108.15,0,113.29357,2,3
0,1,1,62,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,86.1,0,84.116936,2,4
0,1,1,6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,0,18.916666,0,0
0,1,1,14,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.9,0,82.34286,1,0
0,0,0,22,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),84.15,0,82.81591,1,0
0,1,1,22,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,0,19.086363,0,0
0,1,1,16,DSL,Yes,No,Yes,No,Yes,No,Two year,0,Mailed check,64.25,0,64.0,1,2
0,0,0,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.7,0,25.16,0,0
0,0,1,13,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,56.0,0,58.81154,0,2
0,1,0,20,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1,79.6175,0,1
0,0,0,2,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,0,67.6,0,0
0,0,0,53,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),73.9,0,74.68396,1,3
0,1,1,11,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,0,21.263636,0,0
0,1,0,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,0,19.760145,0,0
0,0,0,4,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,1,68.25,0,0
0,1,0,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),89.05,0,86.86736,2,4
1,1,0,58,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,1,45.710346,1,2
0,1,1,16,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.4,0,20.0875,0,0
0,1,0,43,Fiber optic,Yes,No,Yes,Yes,No,No,One year,1,Bank transfer (automatic),84.25,0,82.308136,0,3
0,1,0,2,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,1,121.4,2,2
0,1,0,14,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,81.95,0,84.41071,2,3
0,1,0,53,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,1,94.3434,2,1
0,0,0,32,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.55,0,20.454687,0,0
0,1,0,34,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,24.7,0,22.94706,0,0
1,0,0,15,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1,76.38,0,0
1,0,0,7,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,1,71.942856,0,1
0,1,1,15,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),105.35,0,103.95,2,2
0,1,0,61,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.55,0,20.52459,0,0
0,0,0,1,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,1,29.95,0,1
0,0,0,1,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.3,0,45.3,0,0
0,0,0,8,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,1,82.83125,1,0
0,1,1,33,DSL,Yes,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),74.75,0,74.34242,2,2
0,0,0,13,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1,85.511536,0,2
0,1,0,1,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,1,24.8,0,0
0,0,0,20,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,51.8,0,51.1925,0,1
0,0,0,3,DSL,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,30.4,0,27.383333,0,1
0,0,0,13,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.65,0,18.830769,0,0
0,1,0,40,DSL,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),56.6,0,59.4775,0,1
0,1,1,43,DSL,Yes,No,No,Yes,No,Yes,One year,1,Credit card (automatic),71.9,0,73.798836,1,2
0,1,0,6,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,1,88.5,1,2
0,1,1,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,0,19.933332,0,0
0,1,1,72,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),109.7,0,112.906944,2,3
0,1,1,59,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.3,0,20.215254,0,0
0,1,0,20,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,96.55,0,95.0825,1,3
0,1,1,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.1,0,24.475,0,0
0,0,0,59,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.35,0,110.504234,2,3
0,1,1,72,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),112.25,0,111.68958,2,3
0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.75,0,20.75,0,0
0,1,0,27,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,1,Credit card (automatic),101.9,0,99.30185,2,2
0,0,0,14,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),80.05,0,79.45,0,2
0,1,1,71,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,0,104.30282,2,2
0,0,1,13,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),78.3,0,79.534615,1,0
0,0,0,44,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),68.85,0,67.24886,0,0
0,0,0,33,Fiber optic,No,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),79.95,0,81.35909,0,2
0,1,1,72,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),55.45,0,58.044445,1,4
0,0,0,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,1,79.9,1,0
0,0,0,19,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1,101.813156,2,3
0,1,0,64,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),102.45,0,103.970314,2,3
0,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,1,42.25,0,0
0,0,0,1,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,25.25,0,25.25,0,0
0,0,1,61,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,0,18.429508,0,0
0,1,1,29,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.0,0,18.622414,0,0
1,1,0,23,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,86.8,0,85.906525,1,0
0,1,0,57,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),58.75,0,60.30614,2,3
0,1,1,72,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),45.25,0,43.608334,0,4
0,1,0,66,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,0,57.41212,1,4
